index_grid,dist_matrix,dist_true
0,906.9633798046855,560.4786855995694
0,527.6507629023009,547.4902750358983
0,827.7234157382271,687.7520735427954
0,774.765565166017,659.6746629614604
0,745.2196778397033,650.465803999419
0,731.4266326576233,624.4695835953048
0,712.1088464170477,619.2550379971177
0,726.2688609764707,639.2414084096705
0,701.3518027617861,605.4705080655461
0,662.3494139578227,592.2680334402369
0,691.1905361676078,602.3341581138848
0,786.8868465216045,712.8868804601065
0,757.2081274998126,654.4766655171343
0,721.2326554481816,636.6739258282443
0,752.3319109022158,675.4406156444473
0,687.4673356756595,636.1922442460175
0,622.6933158679728,605.3134879801373
0,559.6720358297105,540.9348770059465
0,661.884913992234,609.027664319262
0,626.3105288062497,600.4937483604099
0,600.3849034621755,561.883994507403
0,637.4078703485147,631.9168579445999
0,764.9130792363957,647.2181216609563
0,968.6128167630402,803.179454279027
0,937.1721955081258,674.3264105456138
0,924.4077562824243,665.5352135728511
0,847.1831866844266,621.5611226773697
0,863.2888571238078,644.621499518415
0,866.2329439323988,634.8848412770122
0,841.2649078830508,618.8459301218745
0,838.2331316023112,620.9286125563992
0,802.0627335269331,569.7782397106469
0,796.7547874429512,581.0427876125344
0,859.1197827308024,614.6768754858506
0,877.9105663064045,651.5056092073097
0,853.2842987622117,638.2755269941016
0,818.8169682846617,587.3775884758239
0,819.8870036058311,611.5209151085164
0,824.0168981527585,603.9909351710164
0,804.3173776611582,592.1434424678196
0,806.5563711343945,598.3711760809341
0,794.1661688953027,590.7485646231744
0,791.8921441762645,590.4404788579295
0,794.953486364058,587.0218812281355
0,759.6425762617562,566.096425193391
0,769.6313602164213,571.8197446315138
0,720.4478504325067,532.5115383310615
0,709.7672282050211,535.0396538212088
0,723.2697854870302,550.0819535424223
0,820.0954166173976,572.4929894695443
0,843.166770005337,602.7618140493306
0,844.1726656799067,621.15127107828
0,793.5529780635969,581.1995580141523
0,792.4828336019116,597.6823868676456
0,741.5525906039364,543.1848774071018
0,742.696123640952,525.2350770915459
0,691.599744531138,522.1416975449966
0,709.7920038632262,515.1513411154317
0,709.6425352374176,515.2213764213515
0,696.9841708684124,510.69747077785263
0,703.2898378131381,516.5924675302997
0,746.116207028742,528.6684117206587
0,742.6961236409519,545.9122835755186
0,691.599744531138,507.1745518904415
0,695.271219708681,529.8252084402271
0,796.9568078829514,578.1158149636725
0,781.6665481311923,583.8702445830733
0,795.6552828869179,593.0766854744046
0,748.1844717381551,557.3189157065749
0,733.2907111313853,540.9910014514214
0,685.0843815161694,520.2511209926851
0,701.00310021848,527.4780445424219
0,654.2298581109972,507.5551240367645
0,718.9329997393512,543.281318658627
0,694.4997518504326,541.8850381537754
0,673.4062806673525,543.6102639360793
0,628.6087552394258,494.2256645792088
0,651.1550150630308,516.2456351672721
0,608.9460144994783,507.95240238357076
0,584.7746250451736,467.02040709538187
0,608.0210979607193,485.78868247552265
0,562.5851495537557,442.1135284687402
0,542.6207826649248,408.7816005950265
0,734.1341282745676,542.9035085428908
0,589.9772841571842,510.6132874024924
0,558.9545237171488,491.3466325291604
0,672.0026252852819,587.0458580971952
0,654.9209202064324,576.858480471314
0,639.1822607405486,560.2780550686466
0,687.6071708387691,597.1162194721632
0,703.4688039333545,616.1383313174641
0,687.1697326288124,606.0201511553735
0,670.922875390775,599.0897968244449
0,654.8298759657371,576.0501430462232
0,671.4662338314791,600.9283602018555
0,639.3811475018866,574.5320327066796
0,622.1822939773225,557.7929285143155
0,594.9518352329504,539.5006646372681
0,524.5493734067147,462.2295404490122
0,557.4899832095629,515.1700409058319
0,493.304367457961,440.44914959336927
0,496.4568219516148,399.48650906986023
0,518.2027718768265,417.80525056877724
0,475.2562468286334,406.3728906459073
0,451.446301824603,369.38200676768815
0,534.7052638916549,444.5276462489251
0,462.65505217759403,395.35118501520583
0,492.8524969841664,427.4655562167156
0,459.36609765337204,404.6142112957327
